Customer_ID,Email,Membership
1001,aman@gmail.com,Gold
1002,priya@gmail.com,Silver
1003,rahul@gmail.com,Gold
1004,simran@gmail.com,Silver
1005,karan@gmail.com,Gold
1006,neha@gmail.com,Silver
1007,arjun@gmail.com,Bronze
1008,riya@gmail.com,Gold
1009,vikas@gmail.com,Gold
1010,anjali@gmail.com,Silver
1011,mohit@gmail.com,Bronze
1012,pooja@gmail.com,Gold
1013,rohit@gmail.com,Silver
1014,sneha@gmail.com,Gold
1015,varun@gmail.com,Bronze
1016,kavya@gmail.com,Silver
1017,aditya@gmail.com,Gold
1018,nisha@gmail.com,Gold
1019,manish@gmail.com,Silver
1020,tanya@gmail.com,Bronze
